-20:46:08|1|Preparation and Countdown
-04:17:03|2|Video: Campers
-03:30:54|2|Video: Suit-up
-03:05:24|2|Video: Leaving crew quarters
-02:40:51|2|Video: Entering pad elevator
-01:21:00|2|Video: Launch VIP area
-01:07:33|2|Video: Firing room
-00:56:01|2|Video: CC television coverage begins
-00:03:52|2|"Good luck and godspeed"
-00:01:00|2|One Minute
000:00:00|1|Lift-off
000:02:42|2|Stage 2
000:09:12|2|Stage 3
000:11:51|1|Entered Earth Orbit
001:06:00|2|Armstrong offers Collins some gum
001:20:11|2|Lost hasselblad
002:44:18|1|Trans-Lunar Injection (TLI)
002:53:03|2|Saturn "magnificent ride"
003:19:44|2|16mm filming
003:20:48|2|"flies like a spacecraft instead of a simulator"
003:21:01|1|Transposition and Docking
003:53:06|2|Neil can see most of the world
004:28:46|2|RCS propellant concern
004:52:19|2|Armstrong describes his view out the window
004:53:28|2|Collins jokes about his view
005:20:31|2|Eating lunch
005:23:47|2|Wishing Dr. George Mueller a happy birthday
008:04:08|2|Collins debates trunnion measurements with Mission Control
011:19:56|2|Eating peanut butter and jelly
012:47:04|1|Crew Sleep Period Start
022:50:12|1|Crew wake-up
023:14:22|2|News report: Man on Mars by 2000, hippies, loch ness
024:45:35|2|Collins says Earth is a "beautiful sight"
025:11:15|2|Jim Lovell says hello
026:45:06|1|Mid-course correction 2
027:15:24|2|Collins joking about Aldrin
027:17:07|2|Aldrin: View "out of this world"
027:22:41|2|Observing zero-phase point of the ocean
027:27:47|2|Lovell and Aldrin talk about Gemini
027:28:43|2|Armstrong jokes about cramped quarters
028:08:13|2|McCandless jokes about PTC
028:39:22|2|Eating with music in background
028:42:18|2|Music: Bettye Swann - Cover Me
030:51:25|2|White team shift starts
030:51:33|2|Collins exercising
030:59:41|2|Goldstone comm tech discussion about tv signal
031:22:48|2|Duke calls Armstrong "Plasticman"
031:26:45|2|Collins jokes about being at a high altitude
032:40:33|2|Collins jokes about crew using DSKY
032:50:57|2|Collins jokes that he can see the runway
032:53:28|1|Just past half-way
034:01:31|2|Video: Neil describes Earth
034:14:18|2|Duke jokes about Buzz holding cue cards
034:14:25|2|Collins describes their "comfortable home"
036:08:08|2|Music audible
036:53:10|1|Crew Sleep Period Start
048:09:00|1|Crew wake-up
048:10:55|2|Collins jokes about the best kind of CAPCOM
050:53:58|2|Music barely audible
051:29:40|2|Press conference on Luna 15 with Frank Borman
053:52:05|2|News report: Thor Heyerdahl, baseball, porridge eating championship
054:53:51|2|Collins says master alarm is a pleasing tone
055:09:00|2|Video: TV broadcast
055:11:19|2|Kranz "prefer the flight controllers use their consoles for looking at data"
055:25:20|2|Collins jokes stagehands don't know where to stand
055:32:37|2|Cernan visits the MOCR
056:03:44|2|Duke joking about possible wardrobe malfunction
056:07:46|2|Jack Schmitt visits the MOCR
056:34:47|2|Collins "hello there Earthlings"
056:38:06|2|Is collins allowed in the LM?
056:42:41|2|Neil sends best wishes to Scout jamboree
057:25:07|2|Moon cheese
058:41:47|2|Music audible
059:10:12|2|Music from crew (unidentified). "Who's on horns?"
060:51:39|1|Crew Sleep Period Start
061:39:55|1|Entering Lunar sphere of influence
069:10:24|1|Crew wake-up
071:33:59|2|Solar corona visible
072:17:39|2|Collins "no more meetings"
072:29:24|2|News Report: Fred Haise - Neil is Czar, sports, astrologer
073:17:24|2|Crew sees Moon up close for the first time
073:18:10|2|Neil jokes about bringing the MOCR to the Moon
073:20:32|2|Collins jokes about "The Czar"
075:29:39|2|Lunar Orbit Insertion (LOI) status check
075:49:44|1|Lunar Orbit Insertion (LOI) burn
075:51:55|2|Aldrin electrical
