000:28:53|LMP|How are we doing on that time, anybody? Neil, are you sort of master of ceremonies on time, yet?
000:29:00|CDR|Well, I didn't ...
000:29:22|LMP|(Singing) Okay, your DRINKING WATER SUPPLY valve is ON.
000:29:27|CMP|How about this ... circuit configuration? GLYCOL RESERVOIR BYPASS valve OPEN?
000:29:33|CDR|(Cough) ... BYPASS is OPEN.
000:29:38|CMP|RESERVOIR OUT valve CLOSED?
000:29:40|CDR|OUT's CLOSED.
000:29:41|CMP|IN valve CLOSED?
000:29:42|CDR|IN's CLOSED.
000:29:43|CMP|ECS RADIATOR FLOW CONTROL, PRIMARY.
000:29:48|LMP|...
000:29:51|CMP|Hey, Buzz?
000:29:52|LMP|Yes.
000:29:53|CMP|How would you like the camera?
000:29:55|LMP|Okay.
000:29:56|CMP|PRIMARY GLYCOL TO RADIATOR valve, NORMAL.
000:29:59|LMP|Why don't I leave the dark slide - -
000:30:01|CDR|Are we ready for that, you think? What's the time?
000:30:04|LMP|30 minutes. ...
000:30:08|CDR|... to NORMAL, and check the radiator.
000:30:13|CMP|It will take awhile, that's - -
000:30:16|LMP|Okay, now, is that normal for the discharge pressure to zap down low and to do that? Do you think, Mike?
000:30:23|CMP|What's that? I'm sorry, I wasn't listening.
000:30:25|LMP|When Neil sends the GLYCOL RADIATORS to NORMAL, temporarily, it - -
000:30:31|CDR|It drops?
000:30:33|LMP|Yes.
000:30:34|CMP|The temperature done that?
000:30:35|CDR|LMP
000:30:36|CMP|Yes, pressure - you might get a little drop in it, I don't really know, but it came back up.
000:30:38|LMP|Yes, it goes back up.
000:30:39|CMP|Alright, Buzz, here's one Hasselblad for you.
000:30:40|CDR|Coming around the right-hand couch.
000:30:42|LMP|That seems okay.
000:30:44|CMP|Buzz?
000:30:45|LMP|Yes, just a second.
000:30:47|CMP|Okay. I'll just let go of it, Buzz; it will be hanging over here in the air. Coming up - it's occupying my couch.
000:31:03|LMP|Okay.
000:31:05|CMP|Just leave the dark slide with it?
000:31:08|LMP|Well, I thought about ... the dark slide or something, and then I thought we might need it later for a magazine change; so, I left it with it.
000:31:25|CMP|Well, I know there's an orange dot on this ... somewhere.
