|The crew are called by Mission Control after a good nights sleep. As they have breakfast, they photograph what will subsequently become an iconic view of the whole earth showing Africa, Europe and Arabia. Midcourse Correction 3 is cancelled, while they check and adjust various spacecraft systems.
048:19:48|It is actually the spacecraft meter that is reading low, but the readings from the sensors are also radioed to Earth and can be read by Mission Control on the ground. MCC can apply a more sophisticated analysis of the telemetry from the engine to generate a more accurate reading of chamber pressure when compared to the relatively crude meter in the spacecraft.
048:42:54|These cloud cells are both visible in photos <a href="http://www.hq.nasa.gov/office/pao/History/alsj/a11/AS11-36-5352HR.jpg" target="new">AS11-36-5352</a>, <a href="http://www.hq.nasa.gov/office/pao/History/alsj/a11/AS11-36-5353HR.jpg" target="new">5353</a>, <a href="http://www.hq.nasa.gov/office/pao/History/alsj/a11/AS11-36-5354HR.jpg" target="new">5354</a> and <a href="http://www.hq.nasa.gov/office/pao/History/alsj/a11/AS11-36-5355HR.jpg" target="new">5355</a>.
051:38:23|PAO is referring to the conversation given above. The audio available for the next conversation is incomplete.
053:51:57|Mike's point is that if it's 2:30 in the afternoon, it isn't the morning.
055:04:45|With instructions to retrieve certain documents, the crew are now preparing to enter the Lunar Module Eagle, and televise the operation.
|The crew of Apollo enter the Lunar Module Eagle for the first time, and make an unplanned televsion transmission of their activites. The camera is performing extremely well and shows the interior of the lunar lander with unprecedented clarity.
|Three photos were taken to show the drogue in the CM cabin. These are <a href="http://www.lpi.usra.edu/resources/apollo/images/print/AS11/36/5382.jpg" target="new">AS11-36-5382</a>, <a href="http://www.lpi.usra.edu/resources/apollo/images/print/AS11/36/5383.jpg" target="new">5383</a> and <a href="http://www.lpi.usra.edu/resources/apollo/images/print/AS11/36/5384.jpg" target="new">5384</a>. Journal contributor Jon Hancock has composited these into a single view that shows a wider context of the drogue in the cabin.
|Buzz is referring to the film-loaded Data Acquisition Camera, not the TV camera, which he will later mount looking out of his window to record the descent to the Moon, and their excursion on the lunar surface.
057:04:05|As Buzz continued to work in the LM, a series of still Hasselblad images were taken of the cabin's interior taken from the rear. Journal contributor Jon Hancock has composited these into a single image that shows the cabin space.
|After finishing their work in the Lunar Module, Armstrong and Aldrin return to the Command Module and close the hatches. They put the spacecraft back into the Passive Thermal Control roll, then update their Flight Plan at Houston's request. As the crew settle down for the night, they spot a curious flashing object in the distance and discuss it with Mission Control. Apollo 11 continues its outward coast, leaves the Earth's sphere of gravitational dominance and passes into the Moon's domain.
057:59:38|Verb 49 will command the computer to automatically maneuver the spacecraft to a desired attitude, in this case, the initial attitude for the PTC.
058:41:46|As Neil keys his microphone, music can be heard playing in the background. The crew are relaxing as they have their meal.
058:41:51|Landing site obliques are images of the landing site viewed, not from above as would be convention, but from the side, at an oblique angle.
058:46:27|SPAN is Spacecraft Analysis, a team of engineers outside the MOCR who stood by ready to work problems on the spacecraft and who constantly batted around what-if scenarios to try and catch problems before they developed.
060:45:46|The crew have noticed an unexplained flashing object out of the window, which appears to be catching the sunlight as it tumbles. Neil is wondering whether it is the abandoned third stage of the Saturn launch vehicle.
