|AS11-43-6349||Crater Al-Khwarizmi K.
|AS11-43-6350||Small fresh rayed crater between Saenger and Erro. Coordinates of crater are 4.57N, 101.10E.
|AS11-43-6351||View west across large crater Babcock. Lower bright crater within Babcock is Zasyadko.
|AS11-43-6352||View northwest towards Mare Marginis. Bright crater in foreground is Erro T.
|AS11-43-6353||Crater Moiseev.
|AS11-43-6354||Crater Saenger C.
|AS11-43-6355||Landscape between Saenger X and C. Rim of Saenger D is upper right. Coordinates of small crater lower right of centre are 6.00N, 103.05E.
|AS11-43-6356||Crater Moiseev.
|AS11-43-6357||Crater Saenger D cut off upper left.
|AS11-43-6358||Partially obscured shot of crater Al-Khwarizmi K.
|AS11-43-6359||View towards northeast. Crater Fleming in the distance. Foreground landscape lies between Fleming and Al-Khwarizmi.
|AS11-43-6360||View north towards crater M&oumlat;bius. Ginzel H (containing bright crater) and G are cut off bottom right.
|AS11-43-6361||View north towards crater Popov. Ginzel H (containing bright crater) and G are in foreground, upper right.
|AS11-43-6362||Small bright fresh rayed crater between Saenger and Erro. Coordinates of this crater are 4.57N, 101.10E.
|AS11-43-6363||Small bright fresh rayed crater between Saenger and Erro. Coordinates of this crater are 4.57N, 101.10E. LM RCS thrusters bottom right.
|AS11-43-6364||Sunlit rim of crater Korolev X in northern area of Korolev Basin.
|AS11-43-6365||Sunlit rim of crater Korolev W in northern area of Korolev Basin.
|AS11-43-6366||Unidentified landscape in northern area of Korolev Basin.
|AS11-43-6367||Unidentified landscape in northern area of Korolev Basin.
|AS11-43-6368||Unidentified landscape in northern area of Korolev Basin.
|AS11-43-6369||Sunlit rim of crater Korolev W lower middle. Korolev X beyond.
|AS11-43-6370||Northwest rim of Korolev Basin. Congreve G is cut off bottom right. Sunlit rim of Korolev V on extreme right and of Korolev W upper middle.
|AS11-43-6371||Congreve G (top right) on northwest rim of Korolev Basin. Rim of Congreve H bottom right.
|AS11-43-6372||Crater Congreve H cut off in foreground.
|AS11-43-6373||Crater Congreve H cut off bottom left.
|AS11-43-6374||Crater Congreve H cut off top left.
|AS11-43-6375||Crater Congreve H cut off at top.
|AS11-43-6376||Crater Congreve H cut off at top right. Rim of Congreve bottom left.
|AS11-43-6377||Interior of crater Congreve.
|AS11-43-6378||Unidentified landscape in northern area of Korolev Basin.
|AS11-43-6379||Interior of crater Congreve. Western rim at bottom of frame.
|AS11-43-6380||Interior of crater Congreve Q bottom two thirds.
|AS11-43-6381||Rim of crater Congreve Q across upper right of image.
|AS11-43-6382||Northern rim of crater Congreve Q. Congreve Q to right of image.
|AS11-43-6383||Probably landscape north of Icarus. Coordinates of sharp bright crater below centre suspected to be 1.84S, 172.26W.
|AS11-43-6384||View northeast between craters Congreve and Zhukovsky. Congreve and smaller crater within its interior are cut off just left of bottom centre. Coordinates of double crater just above left of centre are 2.6N, 167.4W. (Image research by Robin Wheeler and Syd Buxton.)
|AS11-43-6385||Crater within floor of Krasovsky L.
|AS11-43-6386||Crater within floor of Krasovsky L.
|AS11-43-6387||Crater in vicinity of Krasovsky L.
|AS11-43-6388||Crater Krasovsky N cut off on right.
|AS11-43-6389||Crater Krasovsky P cut off on bottom right. Krasovsky N cut off top right.
|AS11-43-6390||Crater Krasovsky P cut off top right. Coordinates of small crater below centre are 1.79N, 177.92W.
|AS11-43-6391||Crater Krasovsky P.
|AS11-43-6392||Crater Krasovsky P.
|AS11-43-6393||Crater Krasovsky P.
|AS11-43-6394||Crater Krasovsky cut off on extreme left. Krasovsky P on upper right.
|AS11-43-6395||Crater Krasovsky cut off at top.
|AS11-43-6396||Craters Stein K and Stien L in foreground.
|AS11-43-6397||Crater Krasovsky lower middle.
|AS11-43-6398||Crater east of Coriolis. Crater coordinates are 0.07S, 174.53E.
|AS11-43-6399||Small double crater east of Coriolis. Crater coordinates are 0.34S, 175.62E.
|AS11-43-6400||Crater Coriolis H. Crater coordinates are 0.62S, 174.06E.
|AS11-43-6401||Small crater on eastern rim of Coriolis. Crater coordinates are 0.13S, 172.72E.
|AS11-43-6402||Elongate craters on southern rim of Coriolis.
|AS11-43-6403||Crater complex northeast of Coriolis. Crater coordinates are 1.84N, 173.2E.
|AS11-43-6404||Crater complex northeast of Coriolis. Crater coordinates are 1.84N, 173.2E.
|AS11-43-6405||Crater west of Coriolis. Crater coordinates are 0.07N, 169.61E.
|AS11-43-6406||Landscape west of Coriolis. Centre coordinates are 0.55N, 169.15E.
|AS11-43-6407||Crater Coriolis W.
|AS11-43-6408||View northeast across crater Valier. Crater Tiselius beyond (cut off top of frame).
|AS11-43-6409||View northeast across crater Tiselius. Crater Valier cut off bottom right.
|AS11-43-6410||View east beyond Coriolis. Coordinates for distinct crater lower right are 0.16N, 176.95E.
|AS11-43-6411||Crater between Vening Meinesz and Dufay. Crater coordinates are 2.31N, 165.35E.
|AS11-43-6412||Crater Mandel'shtam G.
|AS11-43-6413||View northeast beyond crater Mandel'shtam G, which is far left.
|AS11-43-6414||Northeast rim of crater Vening Meinesz W.
|AS11-43-6415||Interior of crater Vening Meinesz W.
|AS11-43-6416||View northeast beyond crater Mandel'shtam G, which is lower left.
|AS11-43-6417||Crater Mandel'shtam Q.
|AS11-43-6418||Crater Mandel'shtam G covers lower right quadrant and cut off at bottom. Ray from Mandel'shtam G crosses top right to bottom centre.
|AS11-43-6419||Crater Mandel'shtam R covers lower right quadrant and cut off at bottom. Crater Mandel'shtam G is cut off top of frame.
|AS11-43-6420||Irregular crater north of crater Schliemann. Crater coordinates are 2.67N, 155.05E.
