2020GeCoA.284..196S|2020|The hydrogen isotopic composition of lunar melt inclusions: An interplay of complex magmatic and secondary processes|Stephant, A., Anand, M., Tartèse, R., Zhao, X., Degli-Alessandrini, G., Franchi, I. A.|Geochimica et Cosmochimica Acta|284||196|Since the discovery of water (a term collectively used for the total H, OH and H<SUB>2</SUB>O) in samples derived from the lunar interior, heterogeneity in both water concentration and its hydrogen isotopic ratio has been documented for various lunar phases. However, most previous studies have focused on measurements of hydrogen in apatite, which typically forms during the final stages of melt crystallisation. To better constrain the abundance and isotopic composition of water in the lunar interior, we have targeted melt inclusions (MIs), in mare basalts, that are trapped during the earliest stages of melt crystallisation. Melt inclusions are expected to have suffered minimal syn- or post-eruption modification processes, and, therefore, should provide more accurate information about the history of H in the lunar interior. Here, we report H<SUP>-</SUP>/<SUP>18</SUP>O<SUP>-</SUP> measurements as calibrated water concentrations, and hydrogen isotope ratios obtained by secondary ion mass spectrometry (SIMS) in a large set of basaltic MIs from Apollo mare basalts 10020, 10058, 12002, 12004, 12008, 12020, 12040, 14072 and 15016. Our results demonstrate that partially crystallised MIs from lunar basalts and their parental melts were influenced by a variety of processes such as hydrogen diffusion, degassing and assimilation of material affected by solar-wind implantation. Deconvolution of these processes show that lunar basaltic parental magmas were heterogeneous and had a broadly chondritic hydrogen isotopic composition with δD values varying between -200 and +200‰.|http://dx.doi.org/10.1016/j.gca.2020.06.017
2019E&PSL.52315715S|2019|The chlorine isotopic composition of the Moon: Insights from melt inclusions|Stephant, Alice, Anand, Mahesh, Zhao, Xuchao, Chan, Queenie H. S., Bonifacie, Magali, Franchi, Ian A.|Earth and Planetary Science Letters|523||115715|The Moon exhibits a heavier chlorine (Cl) isotopic composition compared to the Earth. Several hypotheses have been put forward to explain this difference, based mostly on analyses of apatite in lunar samples complemented by bulk-rock data. The earliest hypothesis argued for Cl isotope fractionation during the degassing of anhydrous basaltic magmas on the Moon. Subsequently, other hypotheses emerged linking Cl isotope fractionation on the Moon with the degassing during the crystallization of the Lunar Magma Ocean (LMO). Currently, a variant of the LMO degassing model involving mixing between two end-member components, defined by early-formed cumulates, from which mare magmas were subsequently derived, and a KREEP component, which formed towards the end of the LMO crystallization, seems to reconcile some existing Cl isotope data on lunar samples. To further ascertain the history of Cl in the Moon and to investigate any evolution of Cl during magma crystallization and emplacement events, which could help resolve the chlorine isotopic variation between the Earth and the Moon, we analysed the Cl abundance and its isotopic composition in 36 olivine- and pyroxene-hosted melt inclusions (MI) in five Apollo basalts (10020, 12004, 12040, 14072 and 15016). Olivine-hosted MI have an average of 3.3 ± 1.4ppm Cl. Higher Cl abundances (11.9 ppm on average) are measured for pyroxene-hosted MI, consistent with their formation at later stages in the crystallization of their parental melt compared to olivines. Chlorine isotopic composition (δ<SUP>37</SUP>Cl) of MI in the five Apollo basalts have weighted averages of + 12.8 ± 2.4 ‰ and + 10.1 ± 3.2 ‰ for olivine- and pyroxene-hosted MI, respectively, which are statistically indistinguishable. These isotopic compositions are also similar to those measured in apatite in these lunar basalts, with the exception of sample 14072, which is known to have a distinct petrogenetic history compared to other mare basalts. Based on our dataset, we conclude that, post-MI-entrapment, no significant Cl isotopic fractionation occurred during the crystallization and subsequent eruption of the parent magma and that Cl isotopic composition of MI and apatite primarily reflect the signature of the source region of these lunar basalts. Our findings are compatible with the hypothesis that in the majority of the cases the heavy Cl isotopic signature of the Moon was acquired during the earliest stages of LMO evolution. Interestingly, MI data from 14072 suggests that Apollo 14 lunar basalts might be an exception and may have experienced post-crystallization processes, possibly metasomatism, resulting in additional Cl isotopic fractionation recorded by apatite but not melt inclusions.|http://dx.doi.org/10.1016/j.epsl.2019.115715
2017PhDT........61N|2017|Copper Diffusion in Silicate Melts and Melt Inclusion Study on Volatiles in The Lunar Interior|Ni, Peng|Ph.D. Thesis||||This thesis focuses on the application of diffusion kinetics to both terrestrial and lunar geochemistry. In Chapters II and III, diffusivities of Cu in silicate melts were experimentally determined and used to discuss the role of Cu diffusion in formation of Cu ore deposits and also Cu isotope fractionation in tektites. In Chapters IV and V, lunar olivine-hosted melt inclusions are studied to understand their volatile loss during homogenization in lab, to estimate cooling rate for lunar Apollo sample 74220, and to estimate volatile abundance in the lunar mantle. Magmatic sulfide deposits and porphyry-type Cu deposits are two major types of Cu deposits that supply the world's Cu. In particular, porphyry-type Cu deposits provide ∼57% of the world's total discovered Cu. Recent studies suggest a potential role of diffusive transport of metals (e.g. Cu, Au, PGE, Mo) in the formation of magmatic sulfide deposits and porphyry-type deposits. Diffusivities of Cu in silicate melts, however, are poorly determined. In Chapters II and III of this thesis, Cu diffusion in basaltic melt and rhyolitic melts are studied by diffusion couple and chalcocite "dissolution" methods. Our results indicate high diffusivities of Cu and a general equation for Cu diffusion in silicate melts is obtained. The high diffusivity of Cu indicate that partition of Cu between the silicate phase and the sulfide or fluid phase can be assumed to be in equilibrium during the formation of magmatic sulfide deposits or porphyry-type deposits. In addition, our Cu diffusion data helps explain why Cu isotopes are more fractionated than Zn isotopes in tektites. Volatile abundances in the lunar mantle have profound implications for the origin of the Moon, which was thought to be bone-dry till about a decade ago, when trace amounts of H2O were detected in various types of lunar samples. In particular, high H2O concentrations comparable to mid-ocean ridge basalts were reported in lunar melt inclusions. There are still uncertainties, however, for lunar melt inclusion studies in at least two aspects. One is whether the low H2O/Ce ratios measured in homogenized crystalline inclusions are affected by the homogenization process. The other is that current estimation of volatile abundances in lunar mantle relies heavily on 74220, which is argued to be a local anomaly by some authors. In order to reach a conclusive answer on volatile abundances in lunar mantle, the above two questions have to be answered. To improve our understanding about these questions, in Chapter IV of this thesis, a series of experiments are carried out to understand possible volatile loss from lunar melt inclusions during homogenization. Our results indicate significant H2O loss from inclusions during homogenization in minutes, whereas loss of F, Cl or S is unlikely a concern under our experimental conditions. The most applicable way to preserve H2O during homogenization is to use large inclusions. In Chapter V of this thesis, volatile, trace and major element data for melt inclusions from 10020, 12040, 15016, 15647 and 74235 are reported. Our new data indicate large variation in H2O/Ce ratios from ∼77 to ∼1 across different lunar samples, which is at least partially due to H2O loss on lunar surface during cooling. In addition, evidences were found in F/Nd and S/Dy ratios that might suggest lunar mantle heterogeneity in terms of its volatile abundances.|
2013AGUSMGP24A..05F|2013|Lunar Paleomagnetism|Fuller, M., Weiss, B. P.|AGU Spring Meeting Abstracts|2013||GP24A-05|We have completed a reanalysis of the old Apollo paleomagnetic data using modern techniques of analysis and presentation. The principal result from the mare basalts is that several samples, such as 10020, 10017, 10049, and 70215 appear to be carrying primary natural remanent magnetization (NRM) acquired on the Moon as they cooled initially on the lunar surface, but in almost every case alternating field (AF) demagnetization was not carried out to strong enough fields to isolate this primary magnetization properly. When modern measurements are available, the agreement between old Apollo era data and new data is strikingly good. It also appears that the fields recorded by the basalts of Apollo 11 and Apollo 17 are stronger than those recorded by Apollo 12 and Apollo 15 basalts. Indeed it is not clear that any reliable records have come from these younger samples. The histories of breccias are more complicated than those of mare basalts and their NRM is harder to interpret. For regolith breccias, interpretations are complicated because of their strong superparamagnetic components and their complex, polymict lithologies. It would be unwise to use these samples for paleointensity estimates unless one can be sure that the NRM was entirely acquired as TRM during cooling after the shock event, as may be the case for 15498. In contrast, the melt rock and melt breccias, which include samples formed at high temperatures far above the Curie point of any magnetic carriers, have an excellent chance of recording lunar fields faithfully as they cool. This cooling may have taken place in a melt pool in a simple crater, or in a melt layer in a complex crater. Such samples would then have been excavated and deposited in the regolith and some appear to have recorded strong fields, but more work needs to be done to test this suggestion. Other melt rocks and melt breccias have had more complicated histories and appear to have been deposited in ejecta blankets, where final cooling took place. A useful, if imperfect, analogy may be pyroclastic volcanic deposits. The samples from the Apollo 17 layered boulder 1 at station 2 provide an example of this history. If a pTRM can be related to this secondary cooling, then we may recover a record of the field during this cooling. Samples such as 62235 and 72215 may provide just such a record, with Apollo-era and modern estimates of fields of the order of around 100 microT. Explaining such high paleointensities so late in lunar history is a major challenge to dynamo models based on cooling of the core, given its small size, and has led to alternative models.|
2012AGUFMGP51B..03T|2012|The decline of the ancient lunar core dynamo|Tikoo, S. M., Weiss, B. P., Fuller, M., Gattacceca, J., Shuster, D. L., Grove, T. L.|AGU Fall Meeting Abstracts|2012||GP51B-03|Apollo-era paleomagnetic studies of lunar samples suggested that the Moon generated an ancient core dynamo. However, the temporal evolution of the magnetic field was unclear. One group proposed that the lunar dynamo ceased by 3.6 Ga, and that all paleointensity determinations from younger samples were indistinguishable from zero (Cisowski and Fuller, 1986). A second group proposed that the lunar dynamo persisted to at least 3.1 Ga, but surface field intensities declined to values 1-2 orders of magnitude lower than those during the period of 3.9-3.65 Ga (Runcorn, 1996). Recent re-analysis of samples 76535, 10020, and 10017 confirm that a lunar core dynamo generated a long-lived, stable magnetic field from 4.2 Ga to at least 3.6 Ga, with ~ 70 μT fields at 3.6-3.7 Ga (Garrick-Bethell et al., 2009; Shea et al., 2012; Suavet et al., 2012). Determining when the dynamo ultimately decayed is difficult because retrieving high-fidelity paleointensities for weak fields is difficult for the vast majority of lunar samples due to their poor magnetic recording properties (Tikoo et al., 2012). Thus far, no lunar samples with ages &lt; 3.6 Ga have been reported which unambiguously record a thermoremanence (TRM) acquired while cooling in the presence of a core dynamo-generated field. We investigated the state of the lunar dynamo after 3.6 Ga by studying the natural remanent magnetization of high magnetic fidelity mare basalts 15597 (~ 3.3 Ga) and 12022 (~ 3.2 Ga). Our alternating field and thermal demagnetization as well as rock magnetic data indicate that, by 3.2 Ga, any surface fields on the Moon were too weak (&lt; 7 μT) to be retrieved by our methods. Because our upper limit of 7 μT is consistent with predictions of dynamo scaling laws, it is possible that the lunar dynamo was still active at 3.2 Ga (Dwyer et al., 2011; LeBars et al., 2011). Nevertheless. such weak fields contrast strongly with the 60-70 μT paleointensities inferred for the Moon just 300-400 million years earlier. Furthermore, although Apollo-era paleointensity compilations have identified lunar paleofields ranging from 0.1-10 μT at 3.3 Ga to &lt;200 Ma, we have recently shown that many or all of these values are likely only upper limits (Tikoo et al. 2012).|
2012epsc.conf..778W|2012|The Lunar Core Dynamo|Weiss, B. P., Suavet, C., Tikoo, S. M., Shuster, D. L., Grove, T. L., Gattacceca, J., Fuller, M. D.|European Planetary Science Congress 2012|||EPSC2012-778|By the end of the Apollo era, paleomagnetic studies had established that lunar rocks carry a remanent magnetization that was acquired on the Moon. However, it was unclear whether this magnetization was produced by a core dynamo field or by plasmas generated by meteoroid impacts. We have been reexamining the paleomagnetism of lunar rocks with the goal of establishing the origin of the magnetizing field and its temporal history. Our recent analyses of troctolite 76535 and mare basalts 10020, 10017, and 10049 have now confirmed that a lunar core dynamo existed with a surface intensity of ~60-70 μT from at least 4.2 to 3.6 billion years (Ga) ago. Furthermore, our analyses of mare basalts 12022 and 15597 have identified no stable magnetization, indicating that the dynamo field had declined to weak (&lt;7 μT) or null intensities by 3.3 Ga. The protracted lifetime of the lunar dynamo may require an unusual power source like mechanical stirring. Furthermore, the strong inferred intensities present a challenge to current dynamo theory.|
2012E&PSL.337...93T|2012|Magnetic fidelity of lunar samples and implications for an ancient core dynamo|Tikoo, Sonia M., Weiss, Benjamin P., Buz, Jennifer, Lima, Eduardo A., Shea, Erin K., Melo, Gabriela, Grove, Timothy L.|Earth and Planetary Science Letters|337||93|Some lunar rocks have stable magnetizations that provide compelling evidence for an ancient lunar core dynamo. However, a longstanding problem has been interpreting the unstable alternating field (AF) demagnetization behavior observed in the remaining majority of the Apollo lunar sample suite. Similar unstable behavior has also been observed for many meteorites. It is unclear whether the behavior of these samples indicates that they formed in the absence of an ancient magnetizing field or whether they simply have poor magnetic recording properties. It is necessary to distinguish between these two possibilities in order to determine whether paleomagnetic fields were present on a sample's parent body. To address this issue, we analyzed five samples whose rock magnetic properties span the full suite of observed demagnetization behaviors: mare basalts 15556, 15016, 12017, 10020, and troctolite 76535. We demonstrate that the effects of spurious anhysteretic remanent magnetization (ARM) during AF demagnetization, in combination with multidomain magnetic carriers and magnetic remanence anisotropy, are likely responsible for the apparently poor magnetic behavior of many lunar samples. Therefore, the unstable AF demagnetization behavior observed for many lunar samples is not alone sufficient for ruling out the presence of an ancient lunar core dynamo. Nevertheless, spurious ARM may explain the observation of surprisingly high (≥1 μT) Apollo-era paleointensity measurements for samples thought to have formed after the cessation of a lunar core dynamo (&lt;1.5 Ga).|http://dx.doi.org/10.1016/j.epsl.2012.05.024
2012AGUFM.P34B..01W|2012|The Lunar Core Dynamo|Weiss, B. P., Suavet, C. R., Tikoo, S. M., Shuster, D. L., Gattacceca, J., Fuller, M.|AGU Fall Meeting Abstracts|2012||P34B-01|By the end of the Apollo era, paleomagnetic studies had established that lunar rocks carry a remanent magnetization that was acquired on the Moon. However, it was unclear whether this magnetization was produced by a core dynamo field or by plasmas generated by meteoroid impacts. We have been reexamining the paleomagnetism of lunar rocks with the goal of establishing the origin of the magnetizing field and its temporal history. Our recent analyses of troctolite 76535 and mare basalts 10020, 10017, and 10049 have now confirmed that a lunar core dynamo existed with a surface intensity of ~60-70 μT from at least 4.2 to 3.6 billion years (Ga) ago. Furthermore, our analyses of mare basalts 12022 and 15597 have identified no stable magnetization, indicating that the dynamo field had declined to weak (&lt;7 μT) or null intensities by 3.3 Ga. The protracted lifetime of the lunar dynamo may require an unusual power source like mechanical stirring. Furthermore, the strong inferred intensities present a challenge to current dynamo theory.|
2011AGUFMGP11B..04S|2011|Paleomagnetic record of mare basalt 10017: A lunar core dynamo at 3.6 Ga?|Suavet, C., Weiss, B. P., Fuller, M., Gattacceca, J., Grove, T. L., Shuster, D. L.|AGU Fall Meeting Abstracts|2011||GP11B-04|Following the Apollo missions, twenty years of paleomagnetic studies of returned samples have failed to demonstrate unambiguously the existence of an ancient lunar core dynamo. As a result of new technologies, more robust analytical methods, and a better understanding of rock magnetism, it is now possible to revisit lunar paleomagnetism. A set of criteria that must be met in order to demonstrate that a sample has recorded a core dynamo field has been defined: the samples must not show petrologic evidence of shock, the magnetization must be a stable thermoremanent magnetization (TRM), mutually oriented subsamples should agree in direction and intensity, and the thermal history should be well constrained, with a cooling timescale longer than the lifetime of impact generated fields (&gt;1h). A critical review of the literature has allowed us to identify Apollo samples that are most likely to provide good records of ancient lunar magnetic fields. The first samples to be studied within this framework were troctolite 76535 (Garrick-Bethell et al., 2009) and mare basalt 10020 (Shea et al., 2010), which have recorded a core dynamo field at 4.2 and 3.7 Ga, respectively. Mare basalt 10017 is a fine grained, vesicular, high-K ilmenite basalt with a crystallization age of 3.6 Ga. It was studied by different groups (Fuller and Meshkov, 1979; Hoffman et al., 1979; Runcorn et al., 1970; Stephenson et al., 1977), all of whom noted the stability of its magnetization. We have measured 7 subsamples of chip 10017,378. Their magnetizations agree in direction, with a low coercivity overprint removed by 10 mT AF demagnetization, and a stable high coercivity component consistent with a TRM. Paleointensity estimations give a conservative minimum of 12 μT for the paleofield. This sample is ~100 Myr younger than the end of the late heavy bombardment, which rules out basin-forming impacts as a possible candidate to explain its magnetization. It extends the lifetime of the putative ancient lunar core dynamo well after thermal convection of the liquid core could have sustained an Earth-like lunar dynamo, thereby supporting non-standard dynamo scenarios such as a mechanical-stirring driven dynamo that could have been triggered by lunar librations from Earth tides or by impacts.|
2011AGUFM.P13D1696F|2011|Lunar paleomagnetism: a new analysis of the Apollo-era paleomagnetic measurements|Fuller, M., Weiss, B. P.|AGU Fall Meeting Abstracts|2011||P13D-1696|The Apollo era lunar paleomagnetism suffered from the lack of modern instrumentation and data analysis techniques. However, paleomagnetic data for nearly 100 samples were reported. We have completed a reanalysis of these old Apollo paleomagnetic data using modern techniques of analysis. The principal result from the mare basalts is that many samples such as 10020, 10017, 10049, 12022, and 70215 appear to be carrying primary natural remanent magnetization (NRM) acquired on the Moon as they initially cooled on the lunar surface, but in almost every case alternating field (AF) demagnetization was not carried out to strong enough fields to isolate this primary magnetization properly. When modern measurements are available, the agreement between old Apollo era data and new data is strikingly good. It also appears that the fields recorded by the basalts of Apollo 11 and Apollo 17 may be stronger than those recorded by Apollo 12 basalts, but the small number of high fidelity magnetic recorders among the latter group make this tentative at present. The histories of breccias are more complicated than those of mare basalts and their NRM is harder to interpret. The regolith and fragmental breccias have NRM, which is either a combination of shock remanent magnetization (SRM) acquired during shock lithification and partial to total thermal remanent magnetization (TRM) depending upon the residual temperature after the shock event. For regolith breccias, interpretations are complicated because of their strong superparamagnetic components and their complex, polymict lithologies. It would be unwise to use these samples for paleointensity estimates unless one can be sure that the NRM was entirely acquired as TRM during cooling after the shock event, such as may be the case for 15498. In contrast, the melt rock and melt breccias, which are formed at high temperatures far above the Curie point of any magnetic carriers, have an excellent chance of recording lunar fields faithfully when they cool. This cooling may have taken place in a melt pool in a simple crater, or in a melt layer in a complex crater. Such samples would then have been excavated and deposited in the regolith. Samples 14310, 68416, 77017 and 77135 may have had such simple histories and some appear to have recorded strong fields, but more work needs to be done to test this suggestion. Other melt rocks and melt breccias have had more complicated histories and appear to have been deposited in ejecta blankets, where final cooling took place. The samples from the Apollo 17 layered boulder 1 at station 2 provide an example of this history. If a pTRM can be related to this secondary cooling, then we may recover a record of the field during this cooling. Samples such as 62235 and 72215 may provide just such a record, with Apollo-era and modern estimates of fields of the order of around 100 microT. Explaining such high paleointensities so late in lunar history is a major challenge to dynamo models given the small size of the lunar core.|
