|1984|Cosmic ray exposure histories and 235U-136Xe dating of Apollo 11, Apollo 12, and Apollo 17 mare basalts|Eugster, O., Eberhardt, P., Geiss, J., Grögler, N., and Schwaller, H.|Journal of Geophysical Research|89||C171-C181 ||nan
|1980|Chemistry of Apollo 11 low-K mare basalts|Rhodes, J. M. and Blanchard, D. P.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||49-66 ||nan
|1979|Classification of the Apollo-11 basalts according to Ar39-Ar40 ages and petrological properties|Guggisberg, S., Eberhardt, P., Geiss, J., Grogler, N., Stettler, A., Brown, G. M., and Peckett, A.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||1-39 ||nan
|1975|A Rb-Sr study of Apollo 17 boulder 3: Dunite clast, microclasts, and matrix (abs)|Papanastassiou, D. A. and Wasserburg, G. J.|Proceedings of the 6th Lunar Science Conference|nan||631-633 ||nan
|1971|Potassium-Argon age of Apollo 11 rock 10003|Eberhardt, P., Geiss, J., Grogler, N., Krahenbuhl, U., and Morgeli, M.|Earth and Planetary Science Letters|11||245-246 ||nan
|1970|Rubidium-strontium chronology and chemistry of lunar material|Compston, W., Arriens, P. A., Vernon, M. J., and Chappell, B. W.|Science|167 (3918)||474-476||http://dx.doi.org/10.1126/science.167.3918.474
|1970|The chemistry and age of Apollo 11 lunar material|Compston, W., Chappell, B. W., Arriens, P. A., and Vernon, M. J.|Proceedings of the Apollo 11 Lunar Science Conference|nan||1007-1027 ||nan
|1970|Correlation between rock type and irradiation history of Apollo 11 igneous rocks|Eberhardt, P., Geiss, J., Graf, H., Grogler, N., Krahenbuhl, U., Schwaller, H., Schwarzmuller, J., and Stettler, A.|Earth and Planetary Science Letters|10 (1)||67-72||http://dx.doi.org/10.1016/0012-821X(70)90065-8
|1970|Chemical composition and petrogenesis of basalts from Tranquillity Base|Gast, P. W., Hubbard, N. J., and Wiesmann, H.|Proceedings of the Apollo 11 Lunar Science Conference|nan||1143-1163 ||nan
|1970|Semimicro Chemical and X-ray Fluorescence Analysis of Lunar Samples|Rose, H. J., Jr., Cuttitta, F., Dwornik, E. J., Carron, M. K., Christian, R. P., Lindsay, J. R., Ligon, D. T., and Larson, R. R.|Science|167 (3918)||520-521||http://dx.doi.org/10.1126/science.167.3918.520
